Model,Accuracy,Precision,Recall,F1-Score
CNN,0.4952380955219269,0.45044320758606465,0.49523809523809526,0.45602970205180965
VGG16,0.7269841432571411,0.7861095045305572,0.726984126984127,0.7026511365071646
VGG19,0.7428571581840515,0.7829190863337204,0.7428571428571429,0.7300062326619925
RESNET,0.5206349492073059,0.29336589336589336,0.5206349206349207,0.373892924401399
Inceptionv3,0.7079365253448486,0.7160145972307318,0.707936507936508,0.7090196667467692
Xception,0.682539701461792,0.7238040574879742,0.6825396825396826,0.6871042477625009
Mobilenet,0.7555555701255798,0.7808947544242771,0.7555555555555555,0.7546686360396402
MobilenetV2,0.682539701461792,0.7347740389224428,0.6825396825396826,0.6708480292355904
Logistic Regression,0.8472222222222222,0.8551113360323886,0.8573737856346552,0.8502814258911819
SVM,0.875,0.8909090909090909,0.8922360248447205,0.8847953216374269
K-Nearest Neighbors,0.8333333333333334,0.8385416666666666,0.8469979296066252,0.8360301939219413
Decision Tree,0.5833333333333334,0.5814814814814815,0.5973562669214844,0.5842063492063492
Random Forest,0.6805555555555556,0.7548835125448028,0.7049928332537028,0.6971428571428572
Gradient Boosting,0.7222222222222222,0.7487531969309462,0.7417423156553591,0.7398202026806145
Naive Bayes,0.7083333333333334,0.7318587662337661,0.741304347826087,0.7273409622246833
Logistic Regression_Hyperparam_tuning,0.8472222222222222,0.8579622132253711,0.86213569039656,0.8519993894993896
SVM_Hyperparam_tuning,0.9166666666666666,0.9223057644110275,0.9316770186335404,0.9228609625668449
K-Nearest Neighbors_Hyperparam_tuning,0.8333333333333334,0.8472714237516868,0.8491957318044274,0.841481945987578
Decision Tree_Hyperparam_tuning,0.5138888888888888,0.5280257936507936,0.5419732441471572,0.5320184788269895
Random Forest_Hyperparam_tuning,0.75,0.7848519147330693,0.7782608695652175,0.7522875816993464
Gradient Boosting_Hyperparam_tuning,0.7638888888888888,0.7841024663107043,0.7811833094441789,0.7787894288150043
Naive Bayes_Hyperparam_tuning,0.7083333333333334,0.7318587662337661,0.741304347826087,0.7273409622246833

CNN,0.49841269850730896,0.47689178074573607,0.4984126984126984,0.4685532702854076
VGG16,0.7460317611694336,0.8149673554956575,0.746031746031746,0.7184057819361607
CNN,0.4952380955219269,0.28106382978723404,0.49523809523809526,0.35707979218595154
VGG16,0.5873016119003296,0.7194553727021841,0.5873015873015873,0.49106346531928524
VGG19,0.561904788017273,0.6174499467058451,0.5619047619047619,0.4675544118189816
